ROUND,Mikey,Joey,Jacob,Kuuuuuuuuuuuuuuuby,Andrew,Evan,Will,Chris
1,Carson Palmer,Antonio Brown,Odell Beckham,Adrian Beat-her-son,Aaron Rodgers,Julio Jones,Todd Gurley,Allen Robinson
2,Jimmy Graham,David Johnson,Brandon Marshall,Julian Edelman,TY Hilton,Ezekial Elliot,A.J. Green,Robert GRONK
3,Mark Ingrham,Cam Newton,Lamar Miller,Ricardo Lockette,Golden TAte,Mike Evans,Le'Veon Bell,Randal Cobb
4,Jeremy Maclin,Amari Cooper,Greg Olson,Drew Brees,Antonio Gates,Russel Wilson,Deandre Hopkins,Brandon Cooks
5,Eddie Lacy,Jordan Reed. TE,Matt Forte,Lesean McCoy,Ryan Matthews,Davante Freedman,Latavius Murray,Sammy Watkins
6,DeSean Jackson,John Brown,Jordy Nelson,Demaryious Thomas,Arian Foster,Coby Fleener,Alshon Jeffery,Thomas Rawls
7,Marcus Mariota,Vikings D/ST,Demarco Murray,Thomas Brady,Eli Manning,Eric Decker,Tavon Austin,Doug Martin
8,Frank Gore,Derek Carr,Keenan Allen,Patriots D/ST,Kamar Aiken,DeAngelo Williams,Ben WrathlessBurger,Jamaal Charles
9,Devin Funchess,Doug Baldwin,Dez Bryant,Jesse James,Broncos D/ST,Larry Fitzgerald,Jeremy Langford,Kelvin Benjamin
10,Melvin Gordon,Jeremy Hill,Carlos Hyde,Tevin Coleman,Davante Parker,Blake Bortles,Richard Rodgers,Andrew Luck
11,Michael Crabtree,Emmanuel Sanders,Philip Rivers,Jordan Cameron,"Deandre Washington, 43",Gostowski,Matthew Stafford,CJ Anderson
12,Dwayne Allen,Delanie Walker,Panther D/ST,Raiders D/ST,Martellus Bennet,Chris Johnson,Virgil Green,Tyrod Taylor
13,Travis Kelce,Brandon McManus,Matty Ice,Greg Zurlein,Blair Walsh Project,Kyle Rudolph the rednosed reindeer,Seahawks D/ST,Jonathon Stewart
14,Ravens D/ST,Cardinals D/ST,Dan Bailey,Adam Vinatieri,Matt Jones,Packers D/ST,Mason Crosby,Donte Moncreif
15,Matt Bryant,Vincent Jackson,Michael Floyd,Marcus Wheaton,Eagles D/ST,Darren McFadden,LaGarrette Blount,Texans D/ST
16,Michael Thomas,Jerick McKinnon,Ameer Abdullah,Montee Ball,TJ Yeldon,Stefan Diggs,Tajae Sharpe,Stevey Hauscka
