"ROUND","Drafter","Player","Pick #"
1,"Mikey","Carson Palmer",1
1,"Joey","Antonio Brown",2
1,"Jacob","Odell Beckham",3
1,"Kuuuuuuuuuuuuuuuby","Adrian Peterson",4
1,"Andrew","Aaron Rodgers",5
1,"Evan","Julio Jones",6
1,"Will","Todd Gurley",7
1,"Chris","Allen Robinson",8
2,"Chris","Rob Gronkowski",9
2,"Will","A.J. Green",10
2,"Evan","Ezekiel Elliott",11
2,"Andrew","T.Y. Hilton",12
2,"Kuuuuuuuuuuuuuuuby","Julian Edelman",13
2,"Jacob","Brandon Marshall",14
2,"Joey","David Johnson",15
2,"Mikey","Jimmy Graham",16
3,"Mikey","Mark Ingram",17
3,"Joey","Cam Newton",18
3,"Jacob","Lamar Miller",19
3,"Kuuuuuuuuuuuuuuuby","Ricardo Lockette",20
3,"Andrew","Golden Tate",21
3,"Evan","Mike Evans",22
3,"Will","Le'Veon Bell",23
3,"Chris","Randall Cobb",24
4,"Chris","Brandin Cooks",25
4,"Will","DeAndre Hopkins",26
4,"Evan","Russell Wilson",27
4,"Andrew","Antonio Gates",28
4,"Kuuuuuuuuuuuuuuuby","Drew Brees",29
4,"Jacob","Greg Olson",30
4,"Joey","Amari Cooper",31
4,"Mikey","Jeremy Maclin",32
5,"Mikey","Eddie Lacy",33
5,"Joey","Jordan Reed",34
5,"Jacob","Matt Forte",35
5,"Kuuuuuuuuuuuuuuuby","LeSean McCoy",36
5,"Andrew","Ryan Mathews",37
5,"Evan","Devonta Freeman",38
5,"Will","Latavius Murray",39
5,"Chris","Sammy Watkins",40
6,"Chris","Thomas Rawls",41
6,"Will","Alshon Jeffery",42
6,"Evan","Coby Fleener",43
6,"Andrew","Arian Foster",44
6,"Kuuuuuuuuuuuuuuuby","Demaryius Thomas",45
6,"Jacob","Jordy Nelson",46
6,"Joey","John Brown",47
6,"Mikey","DeSean Jackson",48
7,"Mikey","Marcus Mariota",49
7,"Joey","Vikings D/ST",50
7,"Jacob","DeMarco Murray",51
7,"Kuuuuuuuuuuuuuuuby","Tom Brady",52
7,"Andrew","Eli Manning",53
7,"Evan","Eric Decker",54
7,"Will","Tavon Austin",55
7,"Chris","Doug Martin",56
8,"Chris","Jamaal Charles",57
8,"Will","Ben Roethlisberger",58
8,"Evan","DeAngelo Williams",59
8,"Andrew","Kamar Aiken",60
8,"Kuuuuuuuuuuuuuuuby","Patriots D/ST",61
8,"Jacob","Keenan Allen",62
8,"Joey","Derek Carr",63
8,"Mikey","Frank Gore",64
9,"Mikey","Devin Funchess",65
9,"Joey","Doug Baldwin",66
9,"Jacob","Dez Bryant",67
9,"Kuuuuuuuuuuuuuuuby","Jesse James",68
9,"Andrew","Broncos D/ST",69
9,"Evan","Larry Fitzgerald",70
9,"Will","Jeremy Langford",71
9,"Chris","Kelvin Benjamin",72
10,"Chris","Andrew Luck",73
10,"Will","Richard Rodgers",74
10,"Evan","Blake Bortles",75
10,"Andrew","Davante Parker",76
10,"Kuuuuuuuuuuuuuuuby","Tevin Coleman",77
10,"Jacob","Carlos Hyde",78
10,"Joey","Jeremy Hill",79
10,"Mikey","Melvin Gordon",80
11,"Mikey","Michael Crabtree",81
11,"Joey","Emmanuel Sanders",82
11,"Jacob","Philip Rivers",83
11,"Kuuuuuuuuuuuuuuuby","Jordan Cameron",84
11,"Andrew","Deandre Washington, 43",85
11,"Evan","Gostowski",86
11,"Will","Matthew Stafford",87
11,"Chris","CJ Anderson",88
12,"Chris","Tyrod Taylor",89
12,"Will","Virgil Green",90
12,"Evan","Chris Johnson",91
12,"Andrew","Martellus Bennet",92
12,"Kuuuuuuuuuuuuuuuby","Raiders D/ST",93
12,"Jacob","Panther D/ST",94
12,"Joey","Delanie Walker",95
12,"Mikey","Dwayne Allen",96
13,"Mikey","Travis Kelce",97
13,"Joey","Brandon McManus",98
13,"Jacob","Matty Ice",99
13,"Kuuuuuuuuuuuuuuuby","Greg Zurlein",100
13,"Andrew","Blair Walsh Project",101
13,"Evan","Kyle Rudolph the rednosed reindeer",102
13,"Will","Seahawks D/ST",103
13,"Chris","Jonathon Stewart",104
14,"Chris","Donte Moncreif",105
14,"Will","Mason Crosby",106
14,"Evan","Packers D/ST",107
14,"Andrew","Matt Jones",108
14,"Kuuuuuuuuuuuuuuuby","Adam Vinatieri",109
14,"Jacob","Dan Bailey",110
14,"Joey","Cardinals D/ST",111
14,"Mikey","Ravens D/ST",112
15,"Mikey","Matt Bryant",113
15,"Joey","Vincent Jackson",114
15,"Jacob","Michael Floyd",115
15,"Kuuuuuuuuuuuuuuuby","Marcus Wheaton",116
15,"Andrew","Eagles D/ST",117
15,"Evan","Darren McFadden",118
15,"Will","LaGarrette Blount",119
15,"Chris","Texans D/ST",120
16,"Chris","Stevey Hauscka",121
16,"Will","Tajae Sharpe",122
16,"Evan","Stefan Diggs",123
16,"Andrew","TJ Yeldon",124
16,"Kuuuuuuuuuuuuuuuby","Montee Ball",125
16,"Jacob","Ameer Abdullah",126
16,"Joey","Jerick McKinnon",127
16,"Mikey","Michael Thomas",128
